content,date,image_url,title,url
"INICIO


SOBRE EL IMSE

Introducción
Cómo llegar
Organización
Personal

Visitas al IMSE
El IMSE en los medios
Memoria 2020

Contacto



RECURSOS

Laboratorios
Herramientas CAD
Catálogo de Servicios Científico-Técnicos
Copias de respaldo



INVESTIGACIÓN

Áreas y Líneas de Investigación
Proyectos
Publicaciones del IMSE
Catálogo de ICs

Grupos de Investigación



TRANSFERENCIA TECNOLÓGICA


EMPLEO Y FORMACIÓN

Formación en el IMSE
Empleo en el IMSE
Ofertas de Acogidas en el IMSE
Empleo en la Universidad de Sevilla
Empleo en el CSIC







 




IMSE-CNM
Implementando conceptos innovadores en silicio



Áreas y Líneas de Investigación
Proyectos
Laboratorios
Personal
Empleo en el IMSE
Herramientas CAD
Publicaciones del IMSE
Formación en el IMSE
Qué hacemos

Contacto















Áreas de Investigación









Analog Signal Processing









Analog Signal Processing









Digital Signal Processing & VLSI Systems









Digital Signal Processing & VLSI Systems









Brain-Inspired Neural Networks and Artificial Intelligence









Brain-Inspired Neural Networks and Artificial Intelligence









Sensory & Photonic Vision Systems









Sensory & Photonic Vision Systems











Nanoelectronics and Emerging Technologies









Nanoelectronics and Emerging Technologies









Biomedical and Bioinspired Circuits and Systems









Biomedical and Bioinspired Circuits and Systems









Integrated Circuits for Space Applications









Integrated Circuits for Space Applications









Hardware Security









Hardware Security







Noticias




Los investigadores Juan Antonio Leñero Bardallo y Ángel Rodríguez-Vázquez publican un libro sobre sensores de imagen SPAD y tecnología LiDAR
Nos alegra anunciar la publicación del libro ""Design of event-driven spad-based 3D image sensors"" en el que los investigadores de nuestro Instituto, Juan Antonio Leñero Bardallo y Ángel Rodríguez-Vázquez figuran como coautores",No date,,"Instituto de Microelectrónica de Sevilla






























        ES
        
EN",http://www.imse-cnm.csic.es/index.php/en/news
"El IMSE, entre los 10 seleccionados para reunirse con la Comisionada Europea en la Feria de la Ciencia de Bruselas
El investigador de nuestro instituto, David Martín, participó en una reunión informal con la Comisionada Europea Ekaterina Zakharieva para dialogar sobre los programas Marie Sklodowska-Curie y ERC",No date,,"Marzo 2025
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"Impulsando el talento femenino en la ciencia: Una jornada de divulgación en el IES Alminar
Desde el IMSE llevamos a cabo varias actividades para poner en valor en papel de las ivestigadoras de nuestro centro",No date,,"Marzo 2025
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"CHIPNATION 2024: IMSE explora las oportunidades y desafíos de la tecnología neuromórfica
El catedrático de Investigación del IMSE, Bernabé Linares-Barranco, participó como panelista en CHIPNATION 2024, el congreso sobre microelectrónica organizado por la Asociación Española de la Industria de Semiconductores – AESEMI, los días 2 y 3 de diciembre de 2024 en Valencia",No date,,"Febrero 2025
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"Buscanidos: juega y contribuye a la conservación del Chorlitejo Patinegro
Desde el mes de octubre, el Museo Casa de la Ciencia de Sevilla acoge la innovadora aplicación interactiva Buscanidos, desarrollada por el investigador del Instituto de Microelectrónica de Sevilla (IMSE-CNM) Gustavo Liñán-Cembrano",No date,,"Diciembre 2024
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"MathWorks impulsa el modelado y el diseño avanzado en el IMSE
Técnicos de MathWorks, corporación estadounidense especializada en software de informática matemática, han visitado el IMSE para ofrecer talleres teórico-prácticos sobre MATLAB",No date,,"Diciembre 2024
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"CHIPNATION 2024: IMSE explora las oportunidades y desafíos de la tecnología neuromórfica
El catedrático de Investigación del IMSE, Bernabé Linares-Barranco, participó como panelista en CHIPNATION 2024, el congreso sobre microelectrónica organizado por la Asociación Española de la Industria de Semiconductores – AESEMI, los días 2 y 3 de diciembre de 2024 en Valencia",No date,,"Diciembre 2024
LEER MÁS

EVENTOS Y NOTICIAS ANTERIORES",http://www.imse-cnm.csic.es/index.php/en/news
"Buscanidos: juega y contribuye a la conservación del Chorlitejo Patinegro
Desde el mes de octubre, el Museo Casa de la Ciencia de Sevilla acoge la innovadora aplicación interactiva Buscanidos, desarrollada por el investigador del Instituto de Microelectrónica de Sevilla (IMSE-CNM) Gustavo Liñán-Cembrano",No date,,"Diciembre 2024
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"MathWorks impulsa el modelado y el diseño avanzado en el IMSE
Técnicos de MathWorks, corporación estadounidense especializada en software de informática matemática, han visitado el IMSE para ofrecer talleres teórico-prácticos sobre MATLAB",No date,,"Diciembre 2024
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"El IMSE estará por segundo año consecutivo en la feria de la ciencia de la Comisión Europea
""Science is Wonderful!"", la feria internacional de la ciencia organizada por la Comisión Europea, se celebrará en Bruselas los próximos 12, 13 y 14 de marzo de 2025, y volverá a contar por segundo año consecutivo con la participación de un equipo de investigadores del Instituto de Microelectrónica de Sevilla (IMSE-CNM)",No date,,"Diciembre 2024
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"IMEC visita el IMSE para explorar oportunidades de colaboración tras su llegada a España
La visita consistió en una primera ronda de presentación de las distintas entidades y un posterior recorrido por los laboratorios del centro",No date,,"Noviembre 2024
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"Resistentes a los cambios de temperatura: así será el futuro de las PUFs
Desde el Instituto de Microelectrónica de Sevilla (IMSE-CNM) nos complace anunciar la reciente publicación de la mano de la revista IEEE Transactions on Circuits and Systems I: Regular Papers del artículo titulado ""A Comprehensive Approach to Improving the Thermal Reliability of RTN-Based PUFs"" al que han contribuido investigadores de nuestro centro",No date,,"Octubre 2024
LEER MÁS",http://www.imse-cnm.csic.es/index.php/en/news
"Nueva Directora del IMSE-CNM






La investigadora del IMSE Teresa Serrano Gotarredona ha sido nombrada nueva Directora del Instituto de Microelectrónica de Sevilla",No date,,"Octubre 2024
LEER MÁS






EVENTOS Y NOTICIAS ANTERIORES




Anterior



Siguiente",http://www.imse-cnm.csic.es/index.php/en/news
"- Doctorado
- Máster
- Grados
- Trabajos Fin de Grado
- Prácticas en Empresa



LEER MÁS






Publicaciones recientes



Design of Event-Driven SPAD-Based 3D Image Sensors
R",No date,,"LEER MÁS



Formación en el IMSE",http://www.imse-cnm.csic.es/index.php/en/news
"resumen     
            			

			  The book presents a top-down circuit description for the implementation of asynchronous vision sensors based on Single-Photon Avalanche Diodes (SPADs)",No date,,"Rodríguez-Vázquez
Book · 234 P, 2024

              CRC Press    ISBN:  978-10-32-51353-9",http://www.imse-cnm.csic.es/index.php/en/news
"Exploiting the acousto-optic effect for developing secure digital identifiers
D",No date,,LiDAR systems,http://www.imse-cnm.csic.es/index.php/en/news
"resumen     
            			

			  Cybersecurity is rooted in hardware to achieve high security",No date,,"Brox
Conference · Moscone South, Room 302 (Level 3), San Francisco, Estados Unidos, 28 Enero 2025",http://www.imse-cnm.csic.es/index.php/en/news
"resumen     
            			

			  This paper presents an API designed for a hardware-based Root of Trust that provides a suite of essential cryptographic and security functions based on hardware cryptographic IP cores",No date,,"VIII Reunión Española de Criptología y Seguridad de la Información, 23-25 octubre 2024, León (España)",http://www.imse-cnm.csic.es/index.php/en/news
"doi      			

			  This paper presents the design and implementation of a Karatsuba multiplier to accelerate digital signature schemes on embedded systems",No date,,"Brox
Conference · IEEE Nordic Circuits and Systems Conference (NorCAS), 2024

resumen",http://www.imse-cnm.csic.es/index.php/en/news
"TODAS LAS PUBLICACIONES









Video institucional del IMSE







Qué hacemos en el IMSE

El área de especialización del Instituto es el diseño de circuitos integrados analógicos y de señal mixta en tecnología CMOS, así como su uso en diferentes contextos de aplicación tales como dispositivos biomédicos, comunicaciones inalámbricas, conversión de datos, sensores de visión inteligentes, ciberseguridad, computación neuromórfica y tecnología espacial",No date,,EdDSA over RSA when utilizing the same Karatsuba multiplier core and coding techniques,http://www.imse-cnm.csic.es/index.php/en/news
"Webs relacionadas con el IMSE




Máster en Microelectrónica",No date,,LEER MÁS,http://www.imse-cnm.csic.es/index.php/en/news
"Doctorado de Ingeniería Informática




SIMSIDES: A Time-Domain Behavioral Simulator for Sigma-Delta Modulators in MATLAB/SIMULINK




SHORES: Software & Hardware Open Repository for Embedded Systems




Fuzzy Logic Design Tools















El IMSE en los medios









El IMSE en los medios









El Mundo de los Chips









El Mundo de los Chips









Catálogo de Servicios Científico-Técnicos









Catálogo de Servicios Científico-Técnicos









Empleo en el IMSE









Empleo en el IMSE








COMPARTIR














 




          El Instituto de Microelectrónica de Sevilla (IMSE-CNM) es un centro mixto de I+D+i 
          del Consejo Superior de Investigaciones Científicas (CSIC) y la Universidad de Sevilla
          

SÍGUENOS





 



 
ÁREAS DE INVESTIGACIÓN

Analog Signal Processing
Digital Signal Processing & VLSI Systems
Brain-Inspired Neural Networks and Artificial Intelligence
Sensory & Photonic Vision Systems
Nanoelectronics and Emerging Technologies
Biomedical and Bioinspired Circuits and Systems
Integrated Circuits for Space Applications
Hardware Security


 
LABORATORIOS

Laboratorio de Caracterización de Dispositivos
Laboratorio de Optoelectrónica
Laboratorio de Radiofrecuencia
Laboratorio de Medidas Analógico/Digitales
Laboratorio de Láser Pulsado
Laboratorio de Ciberseguridad del Hardware
Laboratorio de Sistemas Complejos
ATE Agilent 93000
Taller de Montajes Especiales
Taller de Encapsulado
Taller de Mecanización y Montaje de PCBs


 
HERRAMIENTAS CAD

Cadence Design Framework II
Mentor Graphics
Synopsys
Xilinx
Saber
Hspice
Agilent Advanced Design System
Matlab/Simulink
Xfuzzy
Fridge
Simsides


 
PROYECTOS

Administración del Estado
Junta de Andalucía
Unión Europea
CSIC





© 2025 IMSE-CNM",No date,,"Diseño y Aplicaciones de Sistemas Micro/Nanométricos




Doctorado en Ciencias y Tecnologías Físicas",http://www.imse-cnm.csic.es/index.php/en/news
"Instituto de Microelectrónica de Sevilla
                 Cl Américo Vespucio, 28",No date,,Todos los derechos reservados,http://www.imse-cnm.csic.es/index.php/en/news
"Tfno: +34 954466666
info »
ContactoCondiciones de usofactura-e",No date,,"Parque Científico y Tecnológico Cartuja, 41092 Sevilla · Spain",http://www.imse-cnm.csic.es/index.php/en/news
